source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,pf,type_best_classification,mode_best_classification
5859119760248045312,198.5069577998563,-64.32487959677097,0.20039415254169585,0.014179866,-6.064809025869483,0.012570565,-0.48010953632135733,0.017072285,-33.140846,3.6495936,10.9358835,11.918376,9.945794,10.352926263733265,DCEP,FUNDAMENTAL
505178760644698880,31.259128992649828,57.14293499575093,0.14883054852803365,0.01212593,-1.0701473630228817,0.009617906,0.0847346805196916,0.014194183,-109.59822,3.8122504,12.381911,12.877968,11.707593,3.2969021829008365,DCEP,FUNDAMENTAL
2030413735897352832,298.9694124286279,30.491458993275902,0.1319097523121762,0.018219085,-3.1567196867227905,0.016052492,-5.402093569557923,0.016542943,-47.78246,2.8332005,14.549569,16.168053,13.326897,4.803099715510002,DCEP,FUNDAMENTAL
5864184488751391744,203.61002549831193,-64.37097951759412,-0.009104828362369609,0.0209697,-4.878730680626286,0.01713976,-0.8217861100318857,0.02191879,93.2697,5.4724574,14.7674885,15.67531,13.801585,4.824990713424613,DCEP,FUNDAMENTAL
4686455871431637888,22.606365645522107,-73.31142420738122,0.009866905047369333,0.013328537,1.0879081918831548,0.019010613,-1.164513256746391,0.015065121,181.40036,2.639756,13.343405,13.868714,12.650137,36.67458553766466,DCEP,FUNDAMENTAL
4686609562539697152,27.076576307842625,-73.05846883570673,-0.017094945831024104,0.012334736,1.409422409340229,0.014321837,-1.1468947532022096,0.014174583,136.86873,4.4267793,14.009075,14.452334,13.406003,17.74396438401583,DCEP,FUNDAMENTAL
5256730565191453440,151.31156258713287,-59.78735192003804,0.04461619985804356,0.021349328,-3.377258519690306,0.029394004,2.2866454996559127,0.024184292,96.1711,4.0750113,14.81641,15.695279,13.89412,3.537970555645121,DCEP,FUNDAMENTAL
4659422866270932352,86.21075216570343,-67.49458515570953,0.016075512882701634,0.010483743,1.5751557715814206,0.012651779,0.741537500690695,0.01475969,298.27005,2.2915277,11.57698,12.076541,10.974029,72.5328949045116,DCEP,FUNDAMENTAL
4505300988492333312,281.4754119252848,12.336096761984946,0.2496051168168015,0.014559891,-3.9939869565299295,0.014450552,-10.124173534777967,0.015515667,92.265816,3.1414976,9.81651,10.447829,9.057063,7.507757284818152,DCEP,FUNDAMENTAL
2174833591730216192,327.8950981908846,55.62747185703171,0.14669473454224158,0.018744346,-2.0725532540663973,0.022178011,-2.3859780593588846,0.019124843,-47.895527,1.7691374,14.311035,16.27355,12.995883,8.066106899917877,DCEP,FUNDAMENTAL
4659626310263361664,87.49139341356765,-67.26447182250588,-0.008126682176039113,0.017458582,1.6472036036975457,0.019397711,0.720698481395076,0.022242019,294.9219,5.851486,14.2841835,14.7259035,13.679316,12.64516603077165,DCEP,FUNDAMENTAL
2207002415732147328,344.00701529195425,62.003927189931204,0.1605017717258327,0.095425025,-2.9430986718209837,0.10425396,-2.569548571752305,0.102744386,-80.9563,2.653108,15.625133,19.763336,13.993914,25.54625450199934,DCEP,FUNDAMENTAL
5350281236399037696,161.6864062256544,-60.26827408975606,0.4193323939467949,0.016514676,-5.519381755394872,0.018195093,2.3959181305344366,0.019366508,-6.7011366,3.93427,12.048356,13.495276,10.839399,6.6105027623391885,DCEP,FUNDAMENTAL
5312795693863645440,143.87001828098263,-51.135316309660595,0.07971542360097031,0.019914377,-4.015095833074589,0.021507595,2.976484291369643,0.021550508,56.55335,4.8714523,14.837123,16.277353,13.667044,3.5557712949692424,DCEP,FUNDAMENTAL
2004036486267748352,342.2632266896362,56.428196636501234,0.49658535395185016,0.017659366,-3.2958790928990758,0.017459182,-1.4419772800488435,0.017054085,-27.94082,1.8272334,8.115799,8.662595,7.4137692,5.4453660157016115,DCEP,FUNDAMENTAL
4259511653784796032,280.0539729293846,-2.3842861256102967,0.16080193210842275,0.022371896,-2.9816481652838647,0.026467616,-6.804545906893833,0.022081086,102.287506,10.008791,12.136303,13.816816,10.838538,23.075151602740387,DCEP,FUNDAMENTAL
4320807988232100352,290.21857343682785,15.554188975075979,0.1913054692227252,0.025296597,-2.081591660802148,0.02308685,-4.804528025887125,0.022823412,34.47448,6.606114,12.655644,14.517095,11.389988,10.626863030127446,DCEP,FUNDAMENTAL
5228980540943908864,157.84848818003445,-74.28894628095374,0.012615467874634259,0.0130560985,2.360481963619876,0.017014103,0.7298796646018044,0.014867175,34.895847,5.2506704,14.400143,14.935508,13.697536,9.183007781743653,DCEP,FUNDAMENTAL
4513100717859042176,286.49619155047435,16.097998130645756,0.09932700479256755,0.014157614,-2.923430281680088,0.012236788,-7.299437353441411,0.011875053,15.145932,1.325727,13.410246,14.194023,12.561152,3.269723519964172,DCEP,FUNDAMENTAL
469680173047881344,60.94355002761158,57.24772719866225,0.24969743844983758,0.015672313,-0.3199867162322736,0.017992057,0.13890451837786022,0.014623031,-39.48442,2.136105,11.661676,12.592238,10.713462,5.124762244320465,DCEP,FUNDAMENTAL
470361114339849472,61.24359254183781,58.659781105628184,0.6312871051788481,0.042985417,-0.20488975410716934,0.049568944,-0.4280593928548919,0.03982458,-48.018333,4.0670247,7.179552,7.9215617,6.326295,7.912250468798467,DCEP,FUNDAMENTAL
2031776202613700480,296.2030594851332,29.264678772203364,1.0275263756728068,0.052163765,0.10697485708303511,0.04396064,-3.2471959261552024,0.056155153,-9.004051,5.447023,6.798264,7.175367,6.286498,3.8456303178137623,DCEP,FUNDAMENTAL
4509183329678857728,279.2929365586956,15.149860602935686,0.09183419073420379,0.022991287,-0.1628545940989726,0.02683657,-2.0157650682981587,0.029590406,66.36829,5.956811,14.938762,15.550182,14.241496,1.368835174298868,DCEP,FUNDAMENTAL
3104095494729372032,99.67234448786796,-3.8243523811961007,0.0783917807756401,0.020669708,-0.017196983276105433,0.022622852,0.21482922849025457,0.019699186,106.349106,3.5234416,14.002553,14.839856,13.046565,3.8618504747310753,DCEP,FUNDAMENTAL
4319474521151058816,289.3896025118808,14.02349027915919,0.05718461939786281,0.043229304,-2.724712673200896,0.036278486,-6.12643039385022,0.035793036,54.444244,1.7856996,14.177959,17.015461,12.728019,18.79685093511868,DCEP,FUNDAMENTAL
